id,Title,Content,SKU,"Product Type",parent_id,Prix,"Prix Normale","Prix promo",destination,dp,"ecole de croisiere",location,mark,modele,"nb cabine",prestation,skipper,taille
1385,"Louez votre Helia 44","Nous vous proposons pour une croisière thématique, ou encore lors de votre apprentissage en école de croisière, notre magnifique <strong>Fountaine Pajot Helia 44</strong> ! Aux dimensions généreuses vous pourrez tout à fait y loger avec votre famille, vos amis. Ce bateau d'exception vous attend en Martinique.

<!--more-->

Exemples de Croisière thématiques proposées :
<table width=""594"">
<tbody>
<tr>
<td>[icon_tick state=""on""] [at_icon icon=""td-scuba-1""] - Plongée</td>
</tr>
<tr>
<td>[icon_tick state=""on""] [at_icon icon=""td-windsurf""] - Windsurf / Kitesurf</td>
</tr>
<tr>
<td>[icon_tick state=""on""] [at_icon icon=""td-surf""] - Surf</td>
</tr>
<tr>
<td>[icon_tick state=""on""] [at_icon icon=""td-snorkel""] - spots snorkeling</td>
</tr>
</tbody>
</table>
<table class=""table table-bordered tours-tabs__table"" style=""height: 233px;"" width=""862"">
<tbody>
<tr>
<td><strong>Port d'attache</strong></td>
<td>Martinique</td>
</tr>
<tr>
<td><strong>Heure de départ</strong></td>
<td>Le matin à 8h00</td>
</tr>
<tr>
<td><strong>INCLUS</strong></td>
<td>
<table class=""table table-bordered"" style=""height: 62px;"" width=""300"">
<tbody>
<tr>
<td>[icon_tick state=""on""]Airfare</td>
<td>[icon_tick state=""on""]Accommodations</td>
</tr>
<tr>
<td>[icon_tick state=""on""]Local transportation</td>
<td>[icon_tick state=""on""]Professional guide</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td><b>NON INCLUS</b></td>
<td>
<table class=""table table-bordered"" style=""height: 62px;"" width=""300"">
<tbody>
<tr>
<td>[icon_tick state=""off""]Entrance fees</td>
</tr>
<tr>
<td>[icon_tick state=""off""]Guide gratuity</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
Potenti et sociosqu interdum condimentum lorem facilisi litora, sociosqu. Eros etiam luctus turpis sodales laoreet, tristique commodo et id cras habitant sollicitudin. Viverra, rutrum ultrices imperdiet laoreet sociosqu id dictum.

Dignissim inceptos nonummy iaculis parturient velit praesent tristique pharetra netus semper auctor quisque ultrices diam. Lectus aliquam sed pretium sem egestas ad sodales aenean cras litora est Aptent mattis praesent.",,tour,0,3800,3800,,Martinique,,"Stage Exclusif",,"Fountaine Pajot","Helia 44",4,"Croisière thématique|Devenez propriétaire|Formations|Location","Avec Skipper|Sans Skipper","13 à 15 mètres"
1390,"Location 1 semaine du 1er juillet au 7 juillet","Platea rutrum. Enim quam montes Porttitor nam, nullam. Penatibus non. Sociis aptent laoreet tempor Ornare laoreet dictumst, feugiat ut nunc adipiscing orci ridiculus tempus.

Fringilla. Ultrices sollicitudin tristique, netus, habitasse sem.<!--more-->Morbi lacus donec pellentesque dui lacus Platea felis praesent.
<table class=""table table-bordered tours-tabs__table"" style=""height: 233px;"" width=""862"">
<tbody>
<tr>
<td><strong>DEPARTURE/RETURN LOCATION</strong></td>
<td>San Francisco International Airport</td>
</tr>
<tr>
<td><strong>DEPARTURE TIME</strong></td>
<td>Please arrive at least 2 hours before the flight.</td>
</tr>
<tr>
<td><strong>INCLUDED</strong></td>
<td>
<table class=""table table-bordered"" style=""height: 62px;"" width=""300"">
<tbody>
<tr>
<td>[icon_tick state=""on""]Airfare</td>
<td>[icon_tick state=""on""]Accommodations</td>
</tr>
<tr>
<td>[icon_tick state=""on""]Local transportation</td>
<td>[icon_tick state=""on""]Professional guide</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td><b>NOT INCLUDED</b></td>
<td>
<table class=""table table-bordered"" style=""height: 62px;"" width=""300"">
<tbody>
<tr>
<td>[icon_tick state=""off""]Entrance fees</td>
</tr>
<tr>
<td>[icon_tick state=""off""]Guide gratuity</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
Potenti et sociosqu interdum condimentum lorem facilisi litora, sociosqu. Eros etiam luctus turpis sodales laoreet, tristique commodo et id cras habitant sollicitudin. Viverra, rutrum ultrices imperdiet laoreet sociosqu id dictum.

Dignissim inceptos nonummy iaculis parturient velit praesent tristique pharetra netus semper auctor quisque ultrices diam. Lectus aliquam sed pretium sem egestas ad sodales aenean cras litora est Aptent mattis praesent.

&nbsp;

[timeline][timeline_item item_number=""1"" title=""Day 1: Departure""]Ornare proin neque tempus cubilia cubilia blandit netus.
&lt;ul&gt;
&lt;li&gt;Maecenas massa. Fermentum. Pretium vitae tempus sem enim enim.&lt;/li&gt;
&lt;li&gt;Tempus, leo, taciti augue aliquam hendrerit.&lt;/li&gt;
&lt;li&gt;Accumsan pharetra eros justo augue posuere felis elit cras montes fames.&lt;/li&gt;
&lt;li&gt;Vulputate dictumst egestas etiam dictum varius.&lt;/li&gt;
&lt;/ul&gt;
[/timeline_item]
[timeline_item item_number=""2"" title=""Day 2""]Tortor elementum egestas metus potenti habitasse tempus natoque senectus commodo rutrum quisque fermentum.[/timeline_item]
[timeline_item item_number=""3"" title=""Day 3""]Fusce sagittis viverra lorem proin porttitor conubia risus vivamus. Mollis. Luctus curabitur porta nibh penatibus aliquet nec conubia magnis semper, sem feugiat scelerisque molestie.[/timeline_item]
[timeline_item item_number=""4"" title=""Day 4""]Pretium consequat, facilisis sem in malesuada sodales et ipsum proin eleifend tincidunt, urna morbi metus quisque.[/timeline_item]
[timeline_item item_number=""5"" title=""Day 5""]Pellentesque diam pede, eros lobortis habitant sed malesuada facilisi odio morbi tempus ante. Dui cras molestie feugiat.[/timeline_item]
[timeline_item item_number=""6"" title=""Day 6""]Feugiat iaculis penatibus ornare ipsum nisl amet Ad sem, bibendum ultricies luctus Suscipit. Fringilla mus, congue. Sagittis fringilla cubilia nisi.[/timeline_item]
[timeline_item item_number=""7"" title=""Day 7""]Habitant nec magnis molestie porta sociis scelerisque in dis, pretium semper fringilla mollis curabitur vel. Magnis. Diam a urna elementum.[/timeline_item]
[timeline_item item_number=""8"" title=""Day 8""]Hac vehicula semper natoque malesuada dapibus justo eu. Blandit nibh fames Litora habitasse in tempus potenti elit iaculis. Sit et.[/timeline_item]
[timeline_item item_number=""9"" title=""Day 9""]Tincidunt in nullam massa nam ipsum sodales nullam consectetuer ad gravida Donec quisque odio bibendum euismod. Urna id lobortis condimentum.[/timeline_item]
[timeline_item item_number=""10"" title=""Day 10: Return""][/timeline_item][/timeline]

&nbsp;

[google_map address=""La Paz Waterfall Gardens, Costa Rica"" coordinates=""10.2042908,-84.1618761"" zoom=""10"" height=""400"" width_mode=""box-width""]",,variable,0,500,,,Barbade|Martinique,,,,"Fountaine Pajot",,3,,"Avec Skipper","plus de 15 mètres"
1796,"Offre location 1 semaine du 1er juillet au 7 juillet","Platea rutrum. Enim quam montes Porttitor nam, nullam. Penatibus non. Sociis aptent laoreet tempor Ornare laoreet dictumst, feugiat ut nunc adipiscing orci ridiculus tempus.

Fringilla. Ultrices sollicitudin tristique, netus, habitasse sem.<!--more-->Morbi lacus donec pellentesque dui lacus Platea felis praesent.
<table class=""table table-bordered tours-tabs__table"" style=""height: 233px;"" width=""862"">
<tbody>
<tr>
<td><strong>DEPARTURE/RETURN LOCATION</strong></td>
<td>San Francisco International Airport</td>
</tr>
<tr>
<td><strong>DEPARTURE TIME</strong></td>
<td>Please arrive at least 2 hours before the flight.</td>
</tr>
<tr>
<td><strong>INCLUDED</strong></td>
<td>
<table class=""table table-bordered"" style=""height: 62px;"" width=""300"">
<tbody>
<tr>
<td>[icon_tick state=""on""]Airfare</td>
<td>[icon_tick state=""on""]Accommodations</td>
</tr>
<tr>
<td>[icon_tick state=""on""]Local transportation</td>
<td>[icon_tick state=""on""]Professional guide</td>
</tr>
</tbody>
</table>
</td>
</tr>
<tr>
<td><b>NOT INCLUDED</b></td>
<td>
<table class=""table table-bordered"" style=""height: 62px;"" width=""300"">
<tbody>
<tr>
<td>[icon_tick state=""off""]Entrance fees</td>
</tr>
<tr>
<td>[icon_tick state=""off""]Guide gratuity</td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>
Potenti et sociosqu interdum condimentum lorem facilisi litora, sociosqu. Eros etiam luctus turpis sodales laoreet, tristique commodo et id cras habitant sollicitudin. Viverra, rutrum ultrices imperdiet laoreet sociosqu id dictum.

Dignissim inceptos nonummy iaculis parturient velit praesent tristique pharetra netus semper auctor quisque ultrices diam. Lectus aliquam sed pretium sem egestas ad sodales aenean cras litora est Aptent mattis praesent.

&nbsp;

[timeline][timeline_item item_number=""1"" title=""Day 1: Departure""]Ornare proin neque tempus cubilia cubilia blandit netus.
&lt;ul&gt;
&lt;li&gt;Maecenas massa. Fermentum. Pretium vitae tempus sem enim enim.&lt;/li&gt;
&lt;li&gt;Tempus, leo, taciti augue aliquam hendrerit.&lt;/li&gt;
&lt;li&gt;Accumsan pharetra eros justo augue posuere felis elit cras montes fames.&lt;/li&gt;
&lt;li&gt;Vulputate dictumst egestas etiam dictum varius.&lt;/li&gt;
&lt;/ul&gt;
[/timeline_item]
[timeline_item item_number=""2"" title=""Day 2""]Tortor elementum egestas metus potenti habitasse tempus natoque senectus commodo rutrum quisque fermentum.[/timeline_item]
[timeline_item item_number=""3"" title=""Day 3""]Fusce sagittis viverra lorem proin porttitor conubia risus vivamus. Mollis. Luctus curabitur porta nibh penatibus aliquet nec conubia magnis semper, sem feugiat scelerisque molestie.[/timeline_item]
[timeline_item item_number=""4"" title=""Day 4""]Pretium consequat, facilisis sem in malesuada sodales et ipsum proin eleifend tincidunt, urna morbi metus quisque.[/timeline_item]
[timeline_item item_number=""5"" title=""Day 5""]Pellentesque diam pede, eros lobortis habitant sed malesuada facilisi odio morbi tempus ante. Dui cras molestie feugiat.[/timeline_item]
[timeline_item item_number=""6"" title=""Day 6""]Feugiat iaculis penatibus ornare ipsum nisl amet Ad sem, bibendum ultricies luctus Suscipit. Fringilla mus, congue. Sagittis fringilla cubilia nisi.[/timeline_item]
[timeline_item item_number=""7"" title=""Day 7""]Habitant nec magnis molestie porta sociis scelerisque in dis, pretium semper fringilla mollis curabitur vel. Magnis. Diam a urna elementum.[/timeline_item]
[timeline_item item_number=""8"" title=""Day 8""]Hac vehicula semper natoque malesuada dapibus justo eu. Blandit nibh fames Litora habitasse in tempus potenti elit iaculis. Sit et.[/timeline_item]
[timeline_item item_number=""9"" title=""Day 9""]Tincidunt in nullam massa nam ipsum sodales nullam consectetuer ad gravida Donec quisque odio bibendum euismod. Urna id lobortis condimentum.[/timeline_item]
[timeline_item item_number=""10"" title=""Day 10: Return""][/timeline_item][/timeline]

&nbsp;

[google_map address=""La Paz Waterfall Gardens, Costa Rica"" coordinates=""10.2042908,-84.1618761"" zoom=""10"" height=""400"" width_mode=""box-width""]",,tour,0,,,,Barbade|Martinique,,,,,,,,"Avec Skipper","plus de 15 mètres"
1810,"Location 1 semaine du 1er juillet au 7 juillet - Avec Skipper",,,variable,1390,500,500,,,,,,,,,,avec-skipper,
1811,"Location 1 semaine du 1er juillet au 7 juillet",,,variable,1390,900,900,,,,,,,,,,,
1812,Helia-44,"Helia 44 : luxueux et contemporain

Pour une location, une croisière en famille ou entre amis, offrez vous le luxe d'un bateau d'exception. Avec Skipper obligatoirement.

[icon_tick state=""on""] des matériaux nobles et luxueux, aux nuances douces pour un intérieur harmonieux
[icon_tick state=""on""] des lignes horizontales et fluides pour des espaces ouverts et des volumes généreux
[icon_tick state=""on""] un lien permanent entre la vie intérieure et extérieure
[icon_tick state=""on""] une ligne extérieure élancée pour un bateau de caractère

[vc_row][vc_column width=""3/3""]

[vc_tta_tour][vc_tta_section title=""Caractéristiques"" tab_id=""caracteristique""][vc_column_text]

SKIPPER OBLIGATOIRE

[icon_tick state=""on""] Armement de sécurité complet (catégorie “Hauturière“) 13 pers.
[icon_tick state=""on""] 1 winch électrique - guindeau électrique
[icon_tick state=""on""] Centrale de navigation B&amp;G :
[icon_tick state=""on""] Loch, Sondeur, Girouette-anémométre, VHF
[icon_tick state=""on""] Pilote automatique, Radar, GPS cartographie
[icon_tick state=""on""] Annexe 3,40 m avec moteur HB
[icon_tick state=""on""] Radio avec lecteur CD/MP3 et USB
[icon_tick state=""on""] Générateur 220 V et dessalinisateur 220 l/h
[icon_tick state=""on""] Panneaux solaires

[/vc_column_text][/vc_tta_section]

[vc_tta_section title=""Aménagement"" tab_id=""aménagement""][vc_column_text]

[icon_tick state=""on""] Le carré englobe le salon et la table à repas sur tribord, la grande cuisine sur bâbord qui forme un grand « U » ainsi que la table à cartes au centre, face à la mer

[icon_tick state=""on""] La cuisine en « U » est équipée de grandes plaques de cuisson, de larges surfaces de travail et de nombreux rangements

[icon_tick state=""on""] La circulation dans le carré, entre la cuisine et la salon, est optimisée

[icon_tick state=""on""] Toutes les cabines offrent un grand lit double, de nombreux rangements pour répondre au programme hauturier du bateau, et bien entendu une salle d'eau indépendante avec douche séparée

[icon_tick state=""on""] Les cabines bénéficient d'un éclairage naturel incomparable grâce aux vitrages de coque fixes, et d'une excellente ventilation grâce à leurs panneaux de pont et à leurs hublots ouvrants sur la coque ou vers le cockpit[/vc_column_text][/vc_tta_section]

[vc_tta_section title=""Motorisation"" tab_id=""1492066865393-fdd24295-0d7a""][vc_column_text]
[icon_tick state=""on""] 2 moteurs 75 CV (fuel 960 l)
[/vc_column_text][/vc_tta_section][/vc_tta_tour][/vc_column]

[vc_tta_tabs color=""blue"" active_section=""2""][vc_tta_section title=""Plans"" tab_id=""plan""][vc_masonry_media_grid grid_id=""vc_gid:1494534176223-3bdfc01b-5966-6"" include=""2182""][/vc_tta_section]

[vc_tta_section title=""Vidéo"" tab_id=""vidéo""][vc_video link=""https://vimeo.com/144608681""][/vc_tta_section]

[vc_tta_section title=""Photos"" tab_id=""photos""][vc_masonry_media_grid style=""lazy"" items_per_page=""5"" grid_id=""vc_gid:1494534176236-44d8474e-efc7-9"" include=""3234,3237,3240,3243,3246,3249,3252,3255,3258,3261,3264,3267,3270,3273,3276,3279,3282,3285,3288,3291,3294""][/vc_tta_section][/vc_tta_tabs]

[vc_tta_tabs color=""rouge"" active_section=""1""][vc_tta_section title=""Les offres possibles"" tab_id=""offre""][vc_column_text]

Chez ACM-CARAIBES et pour ce catamaran, nous vous proposons plusieurs offres de prestation :
[icon_tick state=""on""] La location avec skipper sur ce bateau d'exception
C'est assez simple : vous réserver votre bateau, et si vous n'avez pas pris de skipper (en option) vous pourrez naviguer ou bon vous semble, en respectant les règlementations mais en profitant un maximum de la magie des Caraibes !Pas à l'aise aux commandes ? pas de problème, choisissez l'aide ô combien précieuse d'un skipper à bord !

[icon_tick state=""on""] La croisière thématique
De plusieurs nature, cette croisière vous offre la possibité de joindre le plaisir au plaisir ! En effet, en plus du bonheur d'être sur un magnifique catamarans, vous aurez en plus la possiblité de joindre une autre de vos passions à bord !
[icon_tick state=""on""] [at_icon icon=""td-scuba-1""] - Plongée
[icon_tick state=""on""] [at_icon icon=""td-windsurf""] - Windsurf / Kitesurf
[icon_tick state=""on""] [at_icon icon=""td-surf""] - Surf
[icon_tick state=""on""] [at_icon icon=""td-snorkel""] - spots snorkeling
[icon_tick state=""on""] [at_icon icon=""td-butterfly""] - Famille

[/vc_column_text][/vc_tta_section][vc_tta_section title=""Infos pratiques"" tab_id=""infos""][vc_column_text]
Port d'attache Martinique
Heure de départ La veille de notre rendez vous !
CE QUI EST INCLUS
[icon_tick state=""on""]Les serviettes et la literie [icon_tick state=""on""]Notre bonne humeur!
[icon_tick state = ""on""] Le Skipper [icon_tick state = ""on""] L'équipage
CE QUI N'EST PAS INCLUS

[icon_tick state = ""off""] Les Extras
[icon_tick state = ""off""] Le nettoyage du bateau

[/vc_column_text][/vc_tta_section]

[vc_tta_section title=""Devenez Propriétaire"" tab_id=""dp""][vc_column_text]

Devenez propriétaire de votre Lagoon 52 Sportop

[/vc_column_text][/vc_tta_section][/vc_tta_tabs][/vc_column][/vc_row]",,variable,0,1000,,,Martinique,,,,"Fountaine Pajot","Helia 44",4,"Croisière thématique|Formations|Location","Avec Skipper|Sans Skipper","13 à 15 mètres"
1813,"Helia-44 - Croisière thématique",,,variable,1812,1000,1000,,,,,,,,,croisiere-thematique,,
1814,"Helia-44 - Devenez propriétaire",,,variable,1812,1000,1000,,,,,,,,,devenez-proprietaire,,
1815,"Helia-44 - Ecole de croisière",,,variable,1812,1400,1400,,,,,,,,,ecole-croisiere,,
1816,"Helia-44 - Location",,,variable,1812,1000,1000,,,,,,,,,location,,
